Movie,Year,Genre,Actors,Director(s),Producer(s),Writer(s),Musician(s),Poet(s),Singer(s),Cinematogrpahy,Others
Teri Yaad, 1948-08-07, Family drama,"Asha Poslay, Nasir Khan, Najma, Jahangir Khan, Nazar, Rani Kiran, Sardar Mohammad, Zubaida, Master Ghulam Qadir",Daud Chand,"Diwan Sardari Lal, D.P. Singh",Khadim Myhayyuddin,Inayat Ali Nath (ass: Anwar Kareem Daad),"Qateel Shafai, Tanvir Naqvi","Munawar Sultana, Asha Poslay & Ali Bux Zahoor",Raza Mir,"Co-producer: D.P. SinghaSound: Z.A. Baig (ass. Mushtaq Rizvi, M. Eidtor: M.A. Latif (ass. S.K. Hussain)Art, Setdesighner: Chodhary Sultan (ass: Ghulam Nabi, Fazal Ahmad)Processing: Pyaray Khan (ass. Waris, Shamim, Sunnay Laboratory)Studio Engineer: Latif DurraniProduction cheif: Ram DialProduc. Manager: M. SafdarMackup: Latif HussainDresses: Altaf HussainElectrician: Dost Mohammad (ass. Rafiq Sarhadi, M. Ashraf)Publicity: Hamid, MerajStill Photography: AbdullahStudio: Pancholi Art Studio, Lahore"
Shahida, 1949-03-18, Family drama,"Shamim, Nasir Khan, Shakir, Hamaliawala, Begum Parveen, G.N. Butt, Nafees Begum, Rani Mumtaz, Khalil Aftab",Luqman (ass. Anwar Kemal Pasha),M. Akbar Shah,"Hakim Ahmad Shuja, Anwar Kemal Pasha","Master Ghulam Haidar, G.A. Chishti",Hakim Ahmad Shuja,"Munawar Sultana, Zahida Parveen, Ali Bux Zahoor, Abdul Shakoor Bedal",Ahmad Ullah Ajmeri,
Hichkolay, 1949-05-06, Family drama,"Najma, Sudhir, Nazar, Ajmal, Akhtari, Maya Devi, M. Ismael, Zahoor Shah",Daud Chand,Sheikh Mohammad Hussain,Saifuddin Saif,Master Inayat Hussain,Saifuddin Saif,"Munawar Sultana, Iqbal Begum, Naseem Akhtar, Ali Bakhsh Zahoor",A. Hameed,
Sachai, 1949-05-13, Family drama,"Sawran Lata, Nazir, Majeed, Maya Devi, Azad, Chodhary Sultan, Ayisha, Nadira, Zohra, Siddiqi","Nazir, Murtaza Jeelani",Sawarn Lata,Chodhary Sultan,G.A. Chishti,"Tanvir Naqvi, Zafar Mir, Chodhary Sultan Ahmad","Munawar Sultana, Inayat Hussain Bhatti",Jafar Bukhari,
2 Kinaray, 1949-07-28, Family drama,"Akhtari, Suresh, Kalavati, Zarif",Ashiq Bhatti,Rashid Butt,?,Fateh Ali Khan,Tufail Hoshiarpuri,"Munawar Sultana, Malika Pukhraj, Ameer Bai, Ali Bux Zahoor, A.R. Aruja, Imdad Hussain",?,
Mundri, 1949-11-18, Family drama,"Ragni, Ilyas Kashmiri, Noor Mohammad Charlie, Zeenat, Ghulam Mohammad, Saleem Raza, Maya Devi, G.N. Butt, Jameel, Qamar Sarhadi, Cukko, M.J. Rana, Mirza Sultan Baig (Nizam Din)",Daud Chand (ass. M.J. Rana),Agha G.A. Gull,"Zahir Mirza (ass. F.D. Sharaf, Mirza Sultan Baig, M.J. Rana)",G.A. Chishti,"Tanvir Naqvi, F.D. Sharf, G.A. Chishti","Munawar Sultana, Zahida Parveen, Iqbal Bano, Naseem Akhtar, Qadir Farid, Noor Mohammad Charlie",Jafar Bukhari,
Ghalt Fehmi, 1950-03-10, Family drama,"Asha Poslay, Nazar, Jahangir Khan, Rani Kiran, Sheikh Iqbal, Saleem Raza, Ghulam Qadir, Parveen Begum, Irshad Begum, Zubaida, Mehpara",Ahmad Ullah Ajmeri,Deevan Sardari Lal,?,Inayat Ali Nath,"Tufail Hoshiarpuri, Arsh Lakhnavi, Inayat Ali Nashiz","Munawar Sultana, Iqbal Bano, Iqbal Begum Lyallpuri, Asha Poslay, Nazar",?,
Pheray, 1949-07-28, Romantic & musical film,"Sawran Lata, Nazir, Nazar, Zeenat, Maya Devi, Allauddin, M. Ismael, Baba Alam Siaposh",Majeed,Saida Bano,Baba Alam Siaposh,G.A. Chishti,"Baba Alam Siaposh, G. A. Chishti","Munawar Sultana, Inayat Hussain Bhatti",A. Hameed,
Jahad, 1950-01-07, Family drama,"Zarina, Zahoor Raja, Reshma, Rufi",Zahoor Raja,Zahoor Raja,?,Karim Dad,?,?,?,
Beli, 1950-02-04, Family drama,"Shahina, Santosh, Sabiha, M. Ismael",Masood Parvez,Masood Parvez,Saadat Hassan Manto,Rasheed Attray,"Ahmad Rahi, Qayyum Nazar, Masood Parvez, Nazim Panipatti, Baba Alam Siaposh, Amrita Pritam","Munawar Sultana, Pukhraj Pappu, Zahida Parveen, Ali Bux Zahoor",?,
